data_shards,parity_shards,per_shard,pparam.bytes_per_encode,pparam.shards_per_encode,time_taken,byte_count,MB/s,recover-ability
4,2,1232,32768,18446744073709551615,0.000251451,2464000,9345.174668722735,15,
4,4,1232,32768,18446744073709551615,0.000465552,2464000,5047.4566012497,70,
6,2,1232,32768,18446744073709551615,0.000345995,3696000,10187.373440186997,28,
6,4,1232,32768,18446744073709551615,0.000711227,3696000,4955.914600313964,210,
6,6,1232,32768,18446744073709551615,0.000995174,3696000,3541.873354245087,924,
8,2,1232,32768,18446744073709551615,0.000444066,4928000,10583.35254500457,45,
8,4,1232,32768,18446744073709551615,0.000903637,4928000,5200.879369979317,495,
8,6,1232,32768,18446744073709551615,0.001544577,4928000,3042.7146275323275,3003,
8,8,1232,32768,18446744073709551615,0.002308033,4928000,2036.2390967763458,12870,
10,2,1232,32768,18446744073709551615,0.00076832,6160000,7646.0768808081275,66,
10,4,1232,32768,18446744073709551615,0.001542874,6160000,3807.5914099676966,1001,
10,6,1232,32768,18446744073709551615,0.002146028,6160000,2737.445079496866,8008,
10,8,1232,32768,18446744073709551615,0.002087569,6160000,2814.1028100448416,43758,
10,10,1232,32768,18446744073709551615,0.002566797,6160000,2288.702140863691,184756,
12,2,1232,32768,18446744073709551615,0.000661842,7392000,10651.425184371798,91,
12,4,1232,32768,18446744073709551615,0.001323392,7392000,5326.887684733623,1820,
12,6,1232,32768,18446744073709551615,0.001839886,7392000,3831.520293580689,18564,
12,8,1232,32768,18446744073709551615,0.002454307,7392000,2872.3222265490826,125970,
12,10,1232,32768,18446744073709551615,0.003061232,7392000,2302.850795651881,646646,
12,12,1232,32768,18446744073709551615,0.003583408,7392000,1967.2782297954907,2704156,
14,2,1232,32768,18446744073709551615,0.000803943,8624000,10230.187096208936,120,
14,4,1232,32768,18446744073709551615,0.0014832,8624000,5545.096618586502,3060,
14,6,1232,32768,18446744073709551615,0.002246151,8624000,3661.5914534185367,38760,
14,8,1232,32768,18446744073709551615,0.002851046,8624000,2884.7262740367923,319770,
14,10,1232,32768,18446744073709551615,0.003496378,8624000,2352.287797454251,1961256,
14,12,1232,32768,18446744073709551615,0.004164554,8624000,1974.8782954159076,9657700,
14,14,1232,32768,18446744073709551615,0.004843117,8624000,1698.180594168487,40116600,
16,2,1232,32768,18446744073709551615,0.000911099,9856000,10316.56720345429,153,
16,4,1232,32768,18446744073709551615,0.001730246,9856000,5432.414848813406,4845,
16,6,1232,32768,18446744073709551615,0.002478214,9856000,3792.8177560533513,74613,
16,8,1232,32768,18446744073709551615,0.003229882,9856000,2910.1416282390505,735471,
16,10,1232,32768,18446744073709551615,0.00401391,9856000,2341.71021834072,5311735,
16,12,1232,32768,18446744073709551615,0.004875781,9856000,1927.7760962807804,30421755,
16,14,1232,32768,18446744073709551615,0.005665844,9856000,1658.9609707750515,145422675,
16,16,1232,32768,18446744073709551615,0.006488868,9856000,1448.544501521683,601080390,
